season,team,conf,region,wins,losses,win_percent,pts_scored,pts_allowed,pts_diff,season_result,season_result_int
2002,Denver Broncos,AFC,West,9,7,0.563,392,344,48,Regular,0
2002,San Diego Chargers,AFC,West,8,8,0.5,333,367,-34,Regular,0
2002,Kansas City Chiefs,AFC,West,8,8,0.5,467,399,68,Regular,0
2002,Philadelphia Eagles,NFC,East,12,4,0.75,415,241,174,Division,2
2002,New York Giants,NFC,East,10,6,0.625,320,279,41,WildCard,1
2002,Washington Redskins,NFC,East,7,9,0.438,307,365,-58,Regular,0
2002,Dallas Cowboys,NFC,East,5,11,0.313,217,329,-112,Regular,0
2002,Green Bay Packers,NFC,North,12,4,0.75,398,328,70,WildCard,1
2002,Minnesota Vikings,NFC,North,6,10,0.375,390,442,-52,Regular,0
2002,Chicago Bears,NFC,North,4,12,0.25,281,379,-98,Regular,0
2002,Detroit Lions,NFC,North,3,13,0.188,306,451,-145,Regular,0
2002,Tampa Bay Buccaneers,NFC,South,12,4,0.75,346,196,150,SuperBowl,4
2002,Atlanta Falcons,NFC,South,9,6,0.594,402,314,88,Division,2
2002,New Orleans Saints,NFC,South,9,7,0.563,432,388,44,Regular,0
2002,Carolina Panthers,NFC,South,7,9,0.438,258,302,-44,Regular,0
2002,San Francisco 49ers,NFC,West,10,6,0.625,367,351,16,Division,2
2002,St. Louis Rams,NFC,West,7,9,0.438,316,369,-53,Regular,0
2002,Seattle Seahawks,NFC,West,7,9,0.438,355,369,-14,Regular,0
2002,Arizona Cardinals,NFC,West,5,11,0.313,262,417,-155,Regular,0
